ID,Name,Centroid
C363,Lauenhagen,POINT (9.21434295679067 52.365567352102524)
C364,Meerbeck,POINT (9.120949135129836 52.347271884705705)
C365,Niedernwöhren,POINT (9.145587256424047 52.36098099552661)
C366,Nordsehl,POINT (9.178527088332674 52.35970163092721)
C367,Pollhagen,POINT (9.181256781006724 52.388143025500995)
C368,Wiedensahl,POINT (9.127614229436253 52.39043702526757)
C369,Helpsen,POINT (9.130403937329806 52.30518384071515)
C370,Hespe,POINT (9.104538583180775 52.32796806197138)
C371,Nienstädt,POINT (9.1614490324579 52.29404586265127)
C372,Seggebruch,POINT (9.093686680204398 52.30544766226905)
C373,Apelern,POINT (9.310147188966393 52.296457647584866)
C374,Hülsede,POINT (9.351105711724955 52.238826974428214)
C375,Lauenau,POINT (9.395856777014053 52.27706519718817)
C376,Messenkamp,POINT (9.395418638219605 52.259528753130965)
C377,Pohle,POINT (9.332968432917765 52.26332301937666)
C378,Rodenberg,POINT (9.365661388509862 52.310191725649574)
C379,Auhagen,POINT (9.299243001881615 52.39366442915644)
C380,Hagenburg,POINT (9.32455014098719 52.429553027573405)
C381,Sachsenhagen,POINT (9.25081660067047 52.39683529272173)
C382,Wölpinghausen,POINT (9.233963759972571 52.419103106992296)
C383,Bergen,POINT (9.998954121830167 52.787706287421386)
C384,Celle,POINT (10.094343163875232 52.64496833033943)
C385,Faßberg,POINT (10.181614831772523 52.88500014592629)
C386,Hambühren,POINT (9.941653660226823 52.62182623724428)
C387,Wietze,POINT (9.820266892359724 52.64279391714628)
C388,Winsen (Aller),POINT (9.884636491101954 52.699632870301116)
C389,Eschede,POINT (10.271152492730838 52.74376701910098)
C390,Südheide,POINT (10.166459460960889 52.82146430859762)
C391,Bröckel,POINT (10.219969868524599 52.5157740815704)
C392,Eicklingen,POINT (10.198711705395992 52.546177254365915)
C393,Langlingen,POINT (10.295642834690444 52.544734337533946)
C394,Wienhausen,POINT (10.20427196146572 52.578442293689655)
C395,Ahnsbeck,POINT (10.294268386253508 52.60817031791931)
C396,Beedenbostel,POINT (10.256721920772046 52.65343073322126)
C397,Eldingen,POINT (10.344573767655534 52.67154644977394)
C398,Hohne,POINT (10.361341785927278 52.592083105772204)
C399,Lachendorf,POINT (10.24795415986176 52.62697296986023)
C400,Adelheidsdorf,POINT (10.030660757267764 52.5605663970688)
C401,Nienhagen,POINT (10.099831608664031 52.542772956924495)
C402,Wathlingen,POINT (10.144127755664863 52.52549467887382)
C403,Lohheide,POINT (9.876951912065381 52.8112111587634)
C404,Cuxhaven,POINT (8.695458143464858 53.822677137073065)
C405,Loxstedt,POINT (8.614608994901928 53.45557582037967)
C406,Schiffdorf,POINT (8.73218717172535 53.54041876487549)
C407,Beverstedt,POINT (8.826886278691482 53.44053007516176)
C408,Hagen im Bremischen,POINT (8.62493919727845 53.3489884214506)
C409,Wurster Nordseeküste,POINT (8.581413084558699 53.72086168266563)
C410,Geestland,POINT (8.777879706670081 53.61889394169129)
C411,Armstorf,POINT (9.026295394058819 53.59108192415586)
C412,Hollnseth,POINT (9.103826090087031 53.584323677332804)
C413,Lamstedt,POINT (9.104856187945462 53.63693220442697)
C414,Mittelstenahe,POINT (9.032362492622681 53.66113297271433)
C415,Stinstedt,POINT (8.971631892829263 53.655130106277625)
C416,Hechthausen,POINT (9.220879779694785 53.644425381019865)
C417,Hemmoor,POINT (9.145384512142257 53.68579802183524)
C418,Osten,POINT (9.222061987458458 53.726437305900085)
C419,Belum,POINT (8.987325497684797 53.8098229701933)
C420,Bülkau,POINT (8.983317828673872 53.73790905873373)
C421,Ihlienworth,POINT (8.892434880512512 53.729590908752876)
C422,Neuenkirchen,POINT (8.894243574227024 53.772946147270865)
C423,Neuhaus (Oste),POINT (9.026586224355011 53.796282951010845)
C424,Nordleda,POINT (8.812438697272842 53.76707487029595)
C425,Oberndorf,POINT (9.153568428224675 53.75091192932842)
C426,Odisheim,POINT (8.938022436734709 53.69438669829474)
C427,Osterbruch,POINT (8.945911510138359 53.77275894886315)
C428,Otterndorf,POINT (8.899175137776211 53.8117941199235)
C429,Steinau,POINT (8.881303204487725 53.67653281424991)
C430,Wanna,POINT (8.779298671448093 53.72411571235071)
C431,Wingst,POINT (9.0509088949642 53.73297849627717)
C432,Cadenberge,POINT (9.077741412226557 53.784450644556635)
C433,Buchholz in der Nordheide,POINT (9.858533181792891 53.32027292549187)
C434,Neu Wulmstorf,POINT (9.795928701410892 53.431307300402466)
C435,Rosengarten,POINT (9.89200494833809 53.39568942540461)
C436,Seevetal,POINT (10.0260678306899 53.38822954425604)
C437,Stelle,POINT (10.109897590920362 53.38107782824782)
C438,Winsen (Luhe),POINT (10.203382500970463 53.34977066418934)
C439,Drage,POINT (10.296208410413547 53.3952509642153)
C440,Marschacht,POINT (10.35165195464797 53.39381362525382)
C441,Tespe,POINT (10.414906799435665 53.38177987329231)
C442,Asendorf,POINT (9.973490401112844 53.28020726536334)
C443,Brackel,POINT (10.057456861777316 53.30153614976878)
C444,Egestorf,POINT (10.04977358995378 53.17978466169108)
C445,Hanstedt,POINT (9.988974954700494 53.25045412031413)
C446,Marxen,POINT (10.009025257789494 53.31090510736085)
C447,Undeloh,POINT (9.925095768337156 53.206389885428266)
C448,Appel,POINT (9.751265239666015 53.39057480759538)
C449,Drestedt,POINT (9.769282329227448 53.33015633341593)
C450,Halvesbostel,POINT (9.612373668537632 53.350781120500095)
C451,Hollenstedt,POINT (9.698985914528802 53.36479051107172)
