ID,Geometry
C11,"POLYGON ((6.115732358028239 51.74182184334588, 6.124335122030756 51.76814770784202, 6.160285089872391 51.766191398490434, 6.180605543501866 51.7904134855608, 6.200127620889746 51.78931208180614, 6.223002486997802 51.81268375285222, 6.244589620857218 51.795914955160825, 6.245404479075997 51.78216910040989, 6.261670209510075 51.77568379468359, 6.268576642245225 51.757918215639656, 6.284291491230396 51.75493141736941, 6.246837407860156 51.73601332905995, 6.267733613725293 51.7234156906491, 6.252241668374495 51.71558845252299, 6.2155800364397695 51.71281366627351, 6.180774913554963 51.746788342180764, 6.17631034655813 51.74347464287016, 6.156547714771231 51.7491758889874, 6.155958654250482 51.73143766338504, 6.115732358028239 51.74182184334588))"
C12,"POLYGON ((6.166295823468984 51.84088948552419, 6.164749312741809 51.86032396657686, 6.146546385079978 51.86819086334937, 6.137474331733351 51.88567277668117, 6.105782651039846 51.89249670439692, 6.117694476906523 51.90142572513361, 6.153197710795142 51.90382027980754, 6.1912885339055475 51.89156734946535, 6.185984520906924 51.884274300759586, 6.21185815038548 51.8708671924448, 6.260289281984575 51.86812924420719, 6.2787390082000565 51.87414820368743, 6.299342241870091 51.86762627587286, 6.307169671254133 51.84855857252516, 6.349384156648633 51.850349909212234, 6.364486636099378 51.83737197389197, 6.388818971507829 51.83274172075552, 6.352974984199039 51.81240001384524, 6.339876381647213 51.814643846160315, 6.302470054082323 51.80543727265247, 6.238787505960728 51.827793440871794, 6.203585381115949 51.8294331650037, 6.166295823468984 51.84088948552419))"
C13,"POLYGON ((6.368953725936584 51.575901658984606, 6.370652229908714 51.56925736370923, 6.390857319545101 51.56242187701133, 6.4067617553157685 51.56077689599498, 6.415203069614408 51.5660114090136, 6.41721402798567 51.555255840009956, 6.4022189667769425 51.55241960920077, 6.378967621569633 51.53615553835025, 6.397413670568124 51.52792713987589, 6.390936375076689 51.49248726823891, 6.399986324290189 51.482276800615324, 6.361812897489318 51.48435602500801, 6.341175891317709 51.49137671939104, 6.31500951707469 51.4858131593711, 6.3162321614553125 51.48173360369763, 6.2988285363725165 51.480617697528984, 6.295464594171545 51.47559539327009, 6.303161143219768 51.473329128217785, 6.286949580740787 51.467122054884975, 6.249257269597605 51.487911319783, 6.218040097058565 51.48507597309156, 6.200961126899688 51.5267609697804, 6.214688005341925 51.540096693359686, 6.243356816284138 51.54727311839268, 6.258975937317755 51.53735860520253, 6.316526349093022 51.543847984386154, 6.357823147139662 51.57569849083451, 6.368953725936584 51.575901658984606))"
C14,"POLYGON ((6.0461811033906985 51.74481122338262, 6.097018297993078 51.73192559029095, 6.105269438235676 51.74449763787262, 6.115732358028239 51.74182184334588, 6.155958654250482 51.73143766338504, 6.156547714771231 51.7491758889874, 6.17631034655813 51.74347464287016, 6.180774913554963 51.746788342180764, 6.2155800364397695 51.71281366627351, 6.229406329927385 51.693914200351244, 6.212104568265281 51.675274157847156, 6.188635268045426 51.67730355056252, 6.177616834796451 51.66400536852314, 6.152496942863042 51.654843391721265, 6.157542547499528 51.64732881565424, 6.119116845901669 51.61912349981399, 6.110431706630324 51.613681743900926, 6.094174434176342 51.61609477109445, 6.117969760553323 51.65601236392364, 6.031350787940978 51.67660408639199, 6.026612903383754 51.70779757918141, 6.046505739354947 51.71607409523736, 6.032512223615514 51.724144027195976, 6.0461811033906985 51.74481122338262))"
C15,"POLYGON ((6.415203069614408 51.5660114090136, 6.421749683061819 51.5736691822394, 6.4382271530689135 51.56989657100168, 6.5003510558648285 51.56695513584356, 6.466104886031667 51.550867488622366, 6.487710465712565 51.53835156655216, 6.476399429790054 51.527413578766314, 6.4773378204119 51.519582481273595, 6.448726723575116 51.52956574626387, 6.475137949378689 51.48402234568277, 6.420215715998405 51.465923469971294, 6.399986324290189 51.482276800615324, 6.390936375076689 51.49248726823891, 6.397413670568124 51.52792713987589, 6.378967621569633 51.53615553835025, 6.4022189667769425 51.55241960920077, 6.41721402798567 51.555255840009956, 6.415203069614408 51.5660114090136))"
C16,"POLYGON ((6.238787505960728 51.827793440871794, 6.302470054082323 51.80543727265247, 6.340515320771144 51.75896621826041, 6.360167642215249 51.75376273472923, 6.402297569144902 51.75505874735584, 6.4111152529609425 51.7418663549402, 6.363094010061476 51.70759846136706, 6.356116860690665 51.699947727270526, 6.361427970102232 51.694466406764136, 6.354961887561606 51.69691981658303, 6.343176026399635 51.6873254567246, 6.315549599119023 51.68996521847929, 6.310162120485441 51.70200586670591, 6.301054630619977 51.69690503364896, 6.27350435600646 51.714530272138624, 6.252241668374495 51.71558845252299, 6.267733613725293 51.7234156906491, 6.246837407860156 51.73601332905995, 6.284291491230396 51.75493141736941, 6.268576642245225 51.757918215639656, 6.261670209510075 51.77568379468359, 6.245404479075997 51.78216910040989, 6.244589620857218 51.795914955160825, 6.235433732557064 51.805301424367926, 6.238787505960728 51.827793440871794))"
C17,"POLYGON ((6.3162321614553125 51.48173360369763, 6.31500951707469 51.4858131593711, 6.341175891317709 51.49137671939104, 6.361812897489318 51.48435602500801, 6.399986324290189 51.482276800615324, 6.420215715998405 51.465923469971294, 6.422155824489328 51.45675509768417, 6.452648129050924 51.44018239023583, 6.449452739301327 51.43279433813718, 6.471393350908493 51.42801634304364, 6.471773894204207 51.41940666465794, 6.461378822598651 51.405534375075085, 6.39723098676928 51.411491733202254, 6.372027060308712 51.41789016541082, 6.346168382570899 51.44056937099742, 6.321021361951457 51.44580543501096, 6.3162321614553125 51.48173360369763))"
C18,"POLYGON ((6.2556674883451 51.65334668109663, 6.279586491504142 51.63984070076354, 6.28973563859525 51.64725862950973, 6.298817340268001 51.64268931148039, 6.300627372126294 51.62173153548298, 6.335074457534697 51.609715899779204, 6.324113909164509 51.60105657131254, 6.3327770733236886 51.597605539214186, 6.346211080422983 51.603575941890746, 6.373933233763685 51.587715977274385, 6.376745532910215 51.57930110326012, 6.368953725936584 51.575901658984606, 6.357823147139662 51.57569849083451, 6.316526349093022 51.543847984386154, 6.258975937317755 51.53735860520253, 6.243356816284138 51.54727311839268, 6.214688005341925 51.540096693359686, 6.200961126899688 51.5267609697804, 6.177333892586201 51.53868652601476, 6.157471878447793 51.56633476490103, 6.170954885765136 51.56076582628873, 6.189706323687134 51.569681030987404, 6.200431537987944 51.59163047070885, 6.243077189233849 51.60259967320016, 6.255830391880497 51.624147607836, 6.240224619421256 51.63936388485299, 6.2556674883451 51.65334668109663))"
C19,"POLYGON ((6.166295823468984 51.84088948552419, 6.203585381115949 51.8294331650037, 6.238787505960728 51.827793440871794, 6.235433732557064 51.805301424367926, 6.244589620857218 51.795914955160825, 6.223002486997802 51.81268375285222, 6.200127620889746 51.78931208180614, 6.180605543501866 51.7904134855608, 6.160285089872391 51.766191398490434, 6.124335122030756 51.76814770784202, 6.115732358028239 51.74182184334588, 6.105269438235676 51.74449763787262, 6.097018297993078 51.73192559029095, 6.0461811033906985 51.74481122338262, 6.058672134950318 51.76381353497566, 6.0491851413506605 51.767463073012614, 6.089645344342817 51.792554441076796, 6.079041802502909 51.804774699353985, 6.087348681166296 51.81642239236651, 6.075777343665404 51.826101092995636, 6.045967887209629 51.82743282411168, 6.037074386730109 51.84395035791644, 6.055550245993085 51.852722593720074, 6.063688740359069 51.86536451157685, 6.099166385886645 51.84907739766451, 6.166295823468984 51.84088948552419))"
C20,"POLYGON ((6.037074386730109 51.84395035791644, 6.045967887209629 51.82743282411168, 6.075777343665404 51.826101092995636, 6.087348681166296 51.81642239236651, 6.079041802502909 51.804774699353985, 6.089645344342817 51.792554441076796, 6.0491851413506605 51.767463073012614, 6.058672134950318 51.76381353497566, 6.0461811033906985 51.74481122338262, 6.032512223615514 51.724144027195976, 5.9928787532752485 51.738403216254525, 5.955345700922114 51.73861644064216, 5.952861680265325 51.74896704480047, 5.989999596045287 51.76609380179506, 5.983038988666058 51.77369126630184, 5.990477034429438 51.7825007754319, 5.974397868989503 51.785798791635926, 5.977052738448081 51.797111991739584, 5.94535249769928 51.81467100574629, 5.958745422413991 51.817438272815664, 5.946164184190873 51.82458027752349, 5.963596225938558 51.836613804891634, 5.991793060153178 51.831011246911686, 6.037074386730109 51.84395035791644))"
C21,"POLYGON ((6.302470054082323 51.80543727265247, 6.339876381647213 51.814643846160315, 6.352974984199039 51.81240001384524, 6.388818971507829 51.83274172075552, 6.407826678971071 51.828478896527564, 6.424927207291258 51.81840093133231, 6.420977735612118 51.81023767288646, 6.432494364738471 51.80302066515274, 6.48890382343774 51.8113219395915, 6.514153161262301 51.77622487389726, 6.534238301985347 51.76479366523101, 6.480493129735579 51.752598366138336, 6.489003030153413 51.721090546985295, 6.476358590867906 51.71840867624431, 6.460773100070102 51.7016152696692, 6.410408720441558 51.71652265103095, 6.421909484616046 51.74417598570243, 6.402297569144902 51.75505874735584, 6.360167642215249 51.75376273472923, 6.340515320771144 51.75896621826041, 6.302470054082323 51.80543727265247))"
C22,"POLYGON ((6.475137949378689 51.48402234568277, 6.499177453696446 51.47670020491145, 6.503268724425032 51.44819811165278, 6.520392155972421 51.4401432697732, 6.516571344788025 51.42443900200793, 6.486066470233157 51.41613867564855, 6.471773894204207 51.41940666465794, 6.471393350908493 51.42801634304364, 6.449452739301327 51.43279433813718, 6.452648129050924 51.44018239023583, 6.422155824489328 51.45675509768417, 6.420215715998405 51.465923469971294, 6.475137949378689 51.48402234568277))"
C23,"POLYGON ((6.218040097058565 51.48507597309156, 6.249257269597605 51.487911319783, 6.286949580740787 51.467122054884975, 6.303161143219768 51.473329128217785, 6.295464594171545 51.47559539327009, 6.2988285363725165 51.480617697528984, 6.3162321614553125 51.48173360369763, 6.321021361951457 51.44580543501096, 6.309274794872383 51.43405109034098, 6.310912969888565 51.42464941278521, 6.283965016150358 51.41137409238599, 6.285965038311089 51.39632914542687, 6.2667428175675495 51.38923462720706, 6.275434480915757 51.356869342739316, 6.224296666578 51.365653295050606, 6.215026686734812 51.387727991744455, 6.226549168267405 51.39965623072917, 6.206052529451649 51.40053060325095, 6.223581880258575 51.46945296397503, 6.218040097058565 51.48507597309156))"
